,sentence,intent
855,Order me a ticket for the suburban train at 7:00 p.m.,2
856,What alarms have I set?,23
857,Play anything Cat Stevens and I'll be happy,45
858,Adjust the light to maximum power,18
859,Will it be warm next week?,13
860,Adding Milk to the Shopping List,59
861,Play Billy Joel,45
862,Please find the news from this week on immigration law in the states,22
863,Who came the last mail?,44
864,Keep the alarm,48
865,Please disable the pressure.,46
866,What album is this song?,57
867,Include a little light.,18
868,Can you book me a train ticket to Boston next Saturday?,2
869,Would it be good to buy ccc shares today?,4
870,You have to give me other directions.,42
871,There are some shopping centers nearby.,19
872,What time is now in London?,0
873,I want to know what exactly time is now in knowing.,0
874,Remember to check the oven in 15 minutes.,50
875,Show my new mail.,44
876,When this happens,32
877,I would like to eat sushi or you can order me lunch,16
878,Can I get my list?,59
879,Olly set a daily reminder for me,50
880,Can I put sandals?,13
881,Start with a playlist for good humor on Google Play,45
882,increase the noise of music,14
883,Create a new email address,33
884,Show me tomorrow’s weather in this area.,13
885,Latest information about oil prices,22
886,Is it too hot today for the sweter?,13
887,Find my current song.,57
888,Where are Italian restaurants in my neighborhood,19
889,Call your mouth and order a taxi at 3 a.m.,54
890,Change the color of light,1
891,Enter your lunch calendar next week.,50
892,Tell me to fill in the invoice.,50
893,Order a big pizza from pepperoni.,16
894,Include Messages,22
895,What are the Different Types of Circular Objects,49
896,Remove all today’s alarms permanently,52
897,Where is the Bermuda Triangle,49
898,Order me a train ticket to one direction from Lublin departing after nine in the morning.,2
899,Turn off the light in the bedroom.,40
900,Remember your wishes to your friend tomorrow at 10 a.m.,50
901,Add out with your dog to the list of things to do,21
902,Create a message to a new address,33
903,Get a list of students' sports tomorrow in knowledge,6
904,How long will it take to travel by train from there to the cafe?,42
905,Tell me what rock is.,26
906,Open the Messenger,27
907,Please check out my music playlist.,28
908,Dry a little coffee.,56
909,The wake up for tomorrow morning.,23
910,Michael and Jacek should be added to the festival calendar,50
911,Listen to Hips Don't Lie,14
912,Include the rubber from the ten to the eleven of the morning every day,34
913,Play a song from the last night at eighteenth,45
914,Start drinking coffee.,56
915,Add a Happy New Year to the Calendar,50
916,Leave me the Beatles song from the audiobook,20
917,Add an event to this evening meeting with the Cube,50
918,I want to know about all posts on this topic.,44
919,What is the Rice Wine,9
920,Reduce the power of light,31
921,Increase the noise please,14
922,Check out all the alarms.,23
923,How to Make Potato Pure,9
924,What is the time in Chicago,0
925,Information about the new government policy,22
926,Play all the songs from your favorite playlist,45
927,It is cold at the court.,13
928,What restaurants offer food,3
929,Notification of news on the stock market,4
930,describe the microwave,26
931,Give me international information titles.,22
932,Check if there are new emails.,44
933,What is my eye in my head?,26
934,Play music for me.,45
935,Show me the weather.,13
936,What does the word animal mean?,26
937,Remember me after an hour to go shopping.,50
938,Show a funny joke,25
939,Can I get a cup of coffee?,56
940,Weather this week,13
941,Write a tweet for me to support Amazon that you haven’t delivered my product in time,47
942,Remove the wemo,8
943,Repeat and Repeat,45
944,describe death,26
945,What is a marginal substitute?,9
946,The meaning of the eternal word,26
947,Do they have a result?,3
948,Add this event to these people.,50
949,Meeting with Monika on Tuesday,50
950,Remove all meetings for today,30
951,Do you know the definitions of school?,26
952,Let me go to Deichman.,47
953,What is the five-day forecast,13
954,Congratulations as you have,5
955,I want to play in paper stone knife play,51
956,What list I have created today,59
957,Get a complaint to Amazon for the last delivery,47
958,Will Snow Rain,13
959,Save this channel to open f. m.,43
960,What is the day of March 23,0
961,Change the color of my lights into random,1
962,Answer this mail.,33
963,Take five and split into three.,39
964,I want to know what is happening in this area.,6
965,I have a room in my calendar tomorrow.,32
966,Turn the radio into the salon.,24
967,What time is the movie tomorrow?,55
968,Updates on the stock exchange,4
969,Planning a meeting asking,32
970,open my Twitter account and tell the chocolate cake that their order was delicious,47
971,Check if I got an email from Jan.,44
972,Can you play instrumental music?,45
973,Tell me what lists I have now.,59
974,Olly is close to lunch.,19
975,please olly tell me about the last inḳ who are becoming virals on Twitter on the topic Polish representation,27
976,Tell me if I got a new mail today.,44
977,Tell me a joke I understand.,12
978,Current World Information,22
979,Please tell me what the election results are today.,22
980,I need a taxi now.,54
981,New List,21
982,Latest Knowledge News,22
983,Show me what day the thirty-first is.,0
984,describe the sky,26
985,What is the current state of solving the general theory of relativity using quantum physics?,49
986,Lighting the light in the kitchen,31
987,Do you want to play,51
988,Calculator,26
989,Tell me what positions are on my shopping list.,59
990,When the order comes,3
991,Find out how to cook chicken,9
992,Leave the news,36
993,Actress Anna Mouse,49
994,I got a new job from yesterday.,44
995,Increase the noise please,14
996,Send a mail to your family,33
997,The best restaurant nearby.,19
998,What is,26
999,Is it a sunny day or not?,13
1000,What is the value of sinus thirty?,39
1001,Please keep the wake up for all days.,48
1002,How long does the train go there?,42
1003,What is the time in Washington?,0
1004,Remove my next meeting from the calendar.,30
1005,What are today's distinctive relationships on the feas,27
1006,Remove Everything,30
1007,How much does it have to grow,49
1008,Remind me of the meeting tomorrow at 4 p.m.,50
1009,Close out when I am outside.,46
1010,Can you order me a pizza?,16
1011,Find local pizzeria,19
1012,Do you know what day is?,0
1013,Play the song that is in the film Rangoon,45
1014,Buy 2 Pizzas from Dominium,16
1015,I have heard important information about our new supplier check the latest news,22
1016,What is the weather in Paris?,13
1017,Tell me what is on the list.,59
1018,What does the word mean,26
1019,What are the trains to New York?,42
1020,Should I take a parasol today?,13
1021,Write the rest on the list.,59
1022,I want to listen to a blues.,45
1023,exchange music stores in a radius of 15 kilometers,19
1024,What events will happen next week,32
1025,Who was John Dillinger,49
1026,Happy,13
1027,Can you recommend a dog exhibition in our city?,6
1028,Show me a movie about the new premiums of mobile phones this year,12
1029,Please play the top hits of the 40s on Spotify,36
1030,Please write a complaint.,47
1031,Show the price of airtel in the past,4
1032,Tweeting a long time waiting and non-professional employees,47
1033,Play a song,45
1034,I turned to work today.,12
1035,Tell me if there is an alarm.,23
1036,What is the purpose of life,12
1037,Give me instructions how to drive from the bulk to the slope.,42
1038,Light the lamp next to the sofa.,18
1039,Remove the song what if from my music,53
1040,Have you set the wake up at 5 a.m.,23
1041,Share the price of Intel,4
1042,Please answer this email.,33
1043,Set the noise to zero,46
1044,How many countries,49
1045,What you think about today,12
1046,When the next train to the intersources,42
1047,Contact with Jan,17
1048,I love this song and you,43
1049,You don't bring me flowers,45
1050,describe your list.,59
1051,What time is the dog exhibition,32
1052,Create an empty event in the calendar on Saturday at 10 a.m.,50
1053,Olly I am hungry what good to eat is in the sick,19
1054,Acceleration,26
1055,Check the mail on the topic.,44
1056,Recipe for Tandoori Chicken,9
1057,Create the next part of this podcast.,58
1058,What Happens Today,12
1059,In which country I get the most in exchange for a thousand dollars in the office?,49
1060,Play with me in football.,51
1061,Find out about the geography of the region.,49
1062,Enable some radio,36
1063,Remember this on Tuesday.,50
1064,Alexa give me my list of tasks for today,50
1065,I went to the coat today.,12
1066,Please send me an email to my uncle Jan telling him I’m there.,33
1067,Next articleCriminatorium,58
1068,Make a brighter color to read.,1
1069,Show me this week.,32
1070,What is the longest river in the world,49
1071,Playing Chess,51
1072,It is the fifth thirty afternoon in India which hour is on the coast of the elephant's bone,38
1073,Can you remove my list to do?,53
1074,What are the details of this event?,32
1075,What is the train between 8 a.m. and 10 a.m. in Western Warsaw that goes west on Sunday,42
1076,Cancel all events for today and indicate that I'm busy,30
1077,Facebook launches controversial tag to deal with fake news,22
1078,My friend sends me emails to check.,44
1079,Start the next part of the podcast.,58
1080,Nearby Basars,19
1081,Do I have any new emails from the school about my conference?,44
1082,Send a mail to Raphael,33
1083,Remove the last list now.,53
1084,I want to listen to the playlist of this artist.,45
1085,Record what happened today.,12
1086,Add an event to my calendar.,50
1087,Tweet on the bobby burger that broke my order and I had to wait an extra hour,47
